timestamp,open,high,low,close,volume
2012-05-09,73.1800,74.7100,72.2100,74.0600,1937556
2012-05-08,76.4600,76.7000,70.5000,74.9300,4187542
2012-05-07,76.9700,78.3000,76.5310,77.2800,1603504
2012-05-04,79.7300,80.7100,77.3500,77.7000,2328651
2012-05-03,79.3100,81.0900,79.1150,80.3000,3499144
2012-05-02,75.5000,79.9000,75.3900,79.4300,3831643
2012-05-01,73.9300,76.8700,73.7100,76.0500,1965669
2012-04-30,74.4500,74.8300,73.7080,74.1400,1323882
2012-04-27,73.2700,74.9080,72.5000,74.7100,1667875
2012-04-26,72.0900,73.6750,72.0400,73.4200,1492934
2012-04-25,71.2300,72.5900,70.2600,71.9300,2195932
2012-04-24,73.6800,73.9300,69.6400,70.1800,2596094
2012-04-23,72.9300,73.9100,71.6500,73.8200,1553086
2012-04-20,73.1800,74.4400,73.0000,73.7000,1099157
2012-04-19,74.8900,75.0600,72.6200,72.9600,1644798
2012-04-18,74.7300,75.3300,74.4000,74.7800,1228014
2012-04-17,73.7100,75.1000,73.6001,74.9100,1430678
2012-04-16,74.8200,75.2500,72.6100,73.4000,2223979
2012-04-13,72.9800,74.4900,72.2100,73.5100,1542689
2012-04-12,73.3100,73.9500,72.7700,73.1300,1422768
2012-04-11,72.6200,73.4600,72.0000,73.0600,1714695
2012-04-10,76.0700,76.0800,71.2600,71.4400,3295597
2012-04-09,75.7500,76.4500,75.2600,75.9700,1059271
2012-04-05,75.0000,77.1300,74.7500,77.0600,1716822
2012-04-04,75.8000,76.1300,74.6600,75.3000,1363971
2012-04-03,74.7700,76.7200,74.7600,76.6100,2402070
2012-04-02,74.5800,75.3000,73.9200,74.7400,1527953
2012-03-30,74.1800,75.5800,73.2000,74.7300,2345057
2012-03-29,72.1900,73.4900,72.0000,73.1500,1556151
2012-03-28,74.5000,74.6500,71.9200,73.3200,2103468
2012-03-27,75.0500,75.4800,74.5600,74.6800,1757504
2012-03-26,75.7800,76.6099,74.6000,75.2300,3087542
2012-03-23,76.3400,76.6500,74.5100,75.8800,3162160
2012-03-22,71.7600,76.6600,70.8800,75.9500,8635361
2012-03-21,73.4900,74.5700,73.3200,74.0700,2234954
2012-03-20,72.6100,73.2500,71.9500,72.8900,2086237
2012-03-19,72.3200,73.9390,71.5400,73.0500,1908615
2012-03-16,74.3600,74.5000,71.9600,72.0400,2796474
2012-03-15,72.5800,74.3600,71.9600,74.2400,2160265
2012-03-14,73.3400,73.7300,71.6000,72.4300,1748459
2012-03-13,72.8800,73.4000,71.5900,72.8900,1829079
2012-03-12,72.3400,72.7500,71.4900,72.2700,964597
2012-03-09,71.1400,72.3600,70.8000,72.0900,2348297
2012-03-08,69.6000,72.0000,69.3800,70.9400,2369112
2012-03-07,68.2100,69.0000,67.2100,68.6700,2028562
2012-03-06,67.4000,67.4100,65.1800,66.0500,2363317
